,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Kralendijk,20,BQ,1514062500,74,12.15,-68.27,28.0,8.2
1,Morondava,8,MG,1514065499,100,-20.3,44.28,25.44,1.81
2,Szob,75,HU,1514064600,70,47.82,18.87,9.0,10.3
3,Hithadhoo,68,MV,1514065500,100,-0.6,73.08,28.07,2.49
4,Port Alfred,12,ZA,1514065309,96,-33.59,26.89,19.47,3.49
5,Chuy,92,UY,1514065501,94,-33.69,-53.46,20.69,9.79
6,Touros,92,BR,1514065502,81,-5.2,-35.46,27.34,4.59
7,Port-Gentil,90,GA,1514062800,94,-0.72,8.78,24.0,1.5
8,Longyearbyen,75,NO,1514060400,74,78.22,15.63,-1.0,4.1
9,Killybegs,92,IE,1514065504,95,54.63,-8.45,10.72,9.11
10,Busselton,0,AU,1514065504,100,-33.64,115.35,18.24,7.24
11,Ushuaia,75,AR,1514062800,50,-54.81,-68.31,14.0,10.14
12,Bredasdorp,0,ZA,1514062800,63,-34.53,20.04,18.0,2.01
13,Knysna,32,ZA,1514062800,82,-34.04,23.05,18.0,1.0
14,Port Elizabeth,90,US,1514064000,77,39.31,-74.98,15.0,4.6
15,Cartagena del Chaira,48,CO,1514065507,78,1.33,-74.84,28.14,0.79
16,Fantino,75,DO,1514062800,83,19.12,-70.3,26.38,1.5
17,Talcahuano,0,CL,1514062800,40,-36.72,-73.12,20.0,9.3
18,Naryan-Mar,68,RU,1514065508,91,67.67,53.09,-6.01,3.71
19,Torbay,90,CA,1514062800,85,47.66,-52.73,-4.0,2.6
20,Dikson,76,RU,1514065509,100,73.51,80.55,-17.06,12.01
21,Qaanaaq,0,GL,1514065509,100,77.48,-69.36,-23.61,4.14
22,Vestmannaeyjar,92,IS,1514065510,100,63.44,-20.27,2.57,1.89
23,Ilulissat,24,GL,1514062200,61,69.22,-51.1,-8.0,4.6
24,Cape Town,0,ZA,1514062800,72,-33.93,18.42,17.0,4.1
25,Albany,90,US,1514063940,93,42.65,-73.75,3.05,1.51
26,Bosaso,0,SO,1514065512,100,11.28,49.18,23.99,4.54
27,Narsaq,0,GL,1514062200,53,60.91,-46.05,-3.0,1.0
28,Arlit,0,NE,1514065513,29,18.74,7.39,16.89,5.56
29,Lagos,8,NG,1514062800,69,6.46,3.39,24.0,1.0
30,Bulungu,88,CD,1514065514,96,-4.54,18.6,22.57,0.99
31,Victoria,75,BN,1514062800,94,5.28,115.24,25.0,3.1
32,Ribeira Grande,75,PT,1514062800,93,38.52,-28.7,18.0,2.1
33,Kishi,0,NG,1514065515,54,9.08,3.85,21.69,1.34
34,Upernavik,80,GL,1514065516,100,72.79,-56.15,-10.44,1.89
35,Hermanus,0,ZA,1514065516,95,-34.42,19.24,12.84,1.11
36,Arraial do Cabo,20,BR,1514062800,74,-22.97,-42.02,27.0,8.7
37,Caravelas,0,BR,1514065517,100,-17.73,-39.27,26.22,5.86
38,Sistranda,75,NO,1514064000,64,63.73,8.83,4.0,5.1
39,Loding,75,DE,1514064000,93,48.05,12.68,3.0,1.0
40,Sinop,88,TR,1514065518,100,42.03,35.15,7.14,7.74
41,Dzaoudzi,56,YT,1514062800,78,-12.79,45.27,28.0,7.2
42,Sar-e Pul,0,AF,1514065519,74,36.22,65.93,-1.61,1.26
43,Ratnagiri,0,IN,1514065520,100,16.98,73.3,25.37,3.86
44,Goderich,0,CA,1514065521,85,43.74,-81.71,0.22,6.29
45,Foz do Iguacu,75,BR,1514062800,100,-25.55,-54.59,24.51,4.1
46,Rock Hill,90,US,1514064900,64,34.92,-81.03,19.38,4.1
47,Tasiilaq,80,GL,1514062200,73,65.61,-37.64,-5.0,4.1
48,Igarka,76,RU,1514065523,84,67.47,86.57,-15.96,9.31
49,Saint Andrews,12,NZ,1514065524,84,-44.53,171.19,19.47,1.44
50,Lebu,0,ET,1514062800,72,8.96,38.73,8.0,2.1
51,San Rafael,0,AR,1514065438,15,-34.61,-68.33,23.89,3.76
52,Abha,0,SA,1514062800,27,18.22,42.5,11.0,1.5
53,Hamilton,75,BM,1514062500,68,32.3,-64.78,21.0,4.1
54,Juba,76,EE,1514062200,93,57.82,26.93,3.0,8.7
55,Itaueira,12,BR,1514065528,43,-7.6,-43.03,31.32,2.14
56,Sire,0,ET,1514065529,64,8.28,39.49,3.89,2.61
57,Jamestown,12,AU,1514065510,52,-33.21,138.6,20.97,4.39
58,Kalmunai,12,LK,1514065531,94,7.42,81.82,21.62,2.61
59,Ballina,90,IE,1514062800,100,54.11,-9.15,10.0,5.7
60,Mar del Plata,0,AR,1514065532,30,-46.43,-67.52,21.87,7.01
61,Rocha,92,UY,1514065532,71,-34.48,-54.34,19.87,8.81
62,Kipini,0,KE,1514065533,88,-2.53,40.53,26.37,6.89
63,Castro,76,CL,1514065534,68,-42.48,-73.76,13.37,2.56
64,Binga,24,ZW,1514065534,85,-17.62,27.34,25.94,0.99
65,Puerto Colombia,20,CO,1514062800,70,10.99,-74.96,30.0,6.7
66,Mikumi,80,TZ,1514065535,80,-7.4,36.98,22.09,1.69
67,Hadrut,20,AZ,1514065536,65,39.52,47.03,7.59,2.49
68,Villiers,0,ZA,1514065536,71,-27.03,28.6,18.19,1.66
69,Mahebourg,20,MU,1514062800,88,-20.41,57.7,24.0,3.1
70,Vardo,90,US,1514064480,93,39.62,-77.74,12.64,1.5
71,Kruisfontein,0,ZA,1514065538,90,-34.0,24.73,17.04,3.94
72,Lusambo,20,CD,1514065539,89,-4.97,23.44,22.34,1.21
73,Monrovia,20,LR,1514062800,83,6.33,-10.8,24.0,2.04
74,Lagoa,20,PT,1514064600,87,37.14,-8.45,11.0,4.1
75,Honningsvag,48,NO,1514065540,100,70.98,25.97,-4.64,3.09
76,Ajdabiya,44,LY,1514065541,96,30.75,20.22,11.59,3.29
77,Clyde River,1,CA,1514062800,67,70.47,-68.59,-31.0,2.1
78,Bubaque,0,GW,1514062800,41,11.28,-15.83,24.0,1.5
79,Punta Arenas,75,CL,1514062800,54,-53.16,-70.91,12.0,15.4
80,Jamkhandi,0,IN,1514065543,70,16.52,75.3,15.49,2.71
81,Cap-aux-Meules,90,CA,1514062800,58,47.38,-61.86,-2.0,5.1
82,Ravar,0,IR,1514065544,73,31.27,56.81,3.24,0.89
83,Gat,68,SN,1514062800,43,14.69,-16.54,21.0,1.0
84,Nanortalik,92,GL,1514065546,96,60.14,-45.24,-0.94,2.91
85,Ponta do Sol,88,BR,1514065546,76,-20.63,-46.0,24.32,0.94
86,Saldanha,0,PT,1514065546,90,41.42,-6.55,-0.21,2.26
87,Rio Grande,90,BR,1514063700,94,-32.03,-52.1,23.0,2.6
88,Cockburn Town,0,TC,1514065548,100,21.46,-71.14,25.84,6.76
89,Kouango,0,CF,1514065548,83,4.99,19.98,22.34,1.21
90,Tabou,32,CI,1514065549,96,4.42,-7.36,27.59,3.69
91,Karwar,0,IN,1514065549,73,14.8,74.13,18.72,0.71
92,Kalmar,68,SE,1514064000,76,56.66,16.36,11.0,13.4
93,East London,92,ZA,1514065551,100,-33.02,27.91,20.62,4.14
94,Verkhnyaya Inta,76,RU,1514065551,79,65.99,60.32,-7.04,1.61
95,Agua Branca,20,BR,1514065552,91,-5.89,-42.63,25.54,1.49
96,Sarandi,92,BR,1514065552,100,-27.94,-52.92,19.49,2.16
97,Souillac,90,FR,1514064600,81,45.6,-0.6,8.45,0.5
98,Angoche,44,MZ,1514065553,100,-16.23,39.91,28.89,7.11
99,Calama,0,CL,1514062800,10,-22.46,-68.93,24.0,10.8
100,Mayumba,64,GA,1514065554,100,-3.44,10.65,25.09,1.16
101,Pangnirtung,8,CA,1514065554,66,66.15,-65.72,-25.89,1.34
102,Ozerne,80,UA,1514065555,92,50.18,28.74,-1.69,7.01
103,Bambous Virieux,20,MU,1514062800,88,-20.34,57.76,24.0,3.1
104,Lulea,20,SE,1514064000,85,65.58,22.15,-8.0,6.7
105,Iguape,44,BR,1514065557,73,-24.7,-47.56,28.84,5.76
106,Labytnangi,92,RU,1514065498,86,66.66,66.39,-9.31,2.94
107,Richards Bay,92,ZA,1514065557,93,-28.77,32.06,21.44,3.86
108,Cidreira,92,BR,1514065558,100,-30.17,-50.22,21.64,0.39
109,Dingle,68,PH,1514065558,96,11.0,122.67,24.22,1.59
110,Buchanan,20,LR,1514062800,83,5.88,-10.05,24.0,3.01
111,Parauna,24,ID,1514065560,84,-3.82,122.09,21.09,0.94
112,Codrington,0,AU,1514065560,94,-28.95,153.24,21.99,1.56
113,Grindavik,75,IS,1514062800,86,63.84,-22.43,1.0,3.1
114,Mehamn,8,NO,1514065561,89,71.03,27.85,-11.01,1.81
115,Kikwit,88,CD,1514065562,96,-5.04,18.82,22.57,0.99
116,Mana,75,RS,1514064600,96,43.52,20.24,2.4,1.5
